,Z_FFT(f)
31,-0.001037419
31.25,0.000758468
31.5,-0.000693963
31.75,0.001185956
32,-0.001203906
32.25,0.000254031
32.5,0.000317456
32.75,-0.000374161
33,0.000777628
33.25,-0.000478135
33.5,0.000221439
33.75,-0.001165362
34,0.001459717
34.25,-0.000793653
34.5,0.00137763
34.75,-0.001922141
35,0.000607216
35.25,0.00066973
35.5,-0.000952646
35.75,0.000343311
36,0.000713743
36.25,-0.001384245
36.5,0.001984078
36.75,-0.002331181
37,0.001287911
37.25,-0.000202961
37.5,0.000277724
37.75,0.000160671
38,-0.000760109
38.25,0.000393346
38.5,-1.26409E-05
38.75,0.000105825
39,-8.5629E-06
39.25,-0.000307859
39.5,0.000300943
39.75,-0.000266562
40,-7.5331E-05
40.25,0.000471118
40.5,-0.000493017
40.75,0.000478001
41,0.001206217
41.25,-0.002686095
41.5,0.002436227
41.75,-0.002393219
42,0.001266862
42.25,0.00054094
42.5,-0.001057217
42.75,0.001030078
43,-0.001249271
43.25,0.001062698
43.5,-0.000574141
43.75,0.000247195
44,-0.000134801
44.25,8.28403E-05
44.5,5.7309E-05
44.75,3.81538E-05
45,0.000118054
45.25,-0.0005895
45.5,0.000666549
45.75,-0.000497826
46,0.000170838
46.25,0.000272037
46.5,5.99149E-05
46.75,-0.000350369
47,-0.000342187
47.25,0.000561548
47.5,-3.46423E-05
47.75,-0.000283896
48,0.000493336
48.25,-2.10676E-05
48.5,-0.000148189
48.75,0.000573811
49,-0.004805676
49.25,0.006674126
49.5,-0.002660663
49.75,-0.000253862
50,0.000100199
50.25,0.000281593
50.5,0.0002515
50.75,-0.000303691
51,-0.000313812
51.25,0.000701806
51.5,-0.000226675
51.75,-0.000419317
52,0.000189523
52.25,0.000409313
52.5,-0.000455953
52.75,0.000625935
53,-0.001087224
53.25,0.000726312
53.5,-0.000939604
53.75,0.00158391
54,-0.001311657
54.25,0.001063649
54.5,-0.000938276
54.75,0.000157012
55,0.00035526
55.25,0.000163891
55.5,-0.00106246
55.75,0.001326083
56,-0.000391869
56.25,-0.000379443
56.5,0.000427559
56.75,-0.000786086
57,0.000716669
57.25,-0.000149849
57.5,0.000276232
57.75,2.41835E-05
58,-0.000142352
58.25,-0.000855136
58.5,0.001014876
58.75,-0.000836942
59,0.000730599
59.25,-0.000192816
59.5,0.000407645
59.75,-0.000895714
60,0.000714001
60.25,-0.000236334
60.5,3.99877E-05
60.75,-0.000248473
61,0.000213134
61.25,-0.000150539
61.5,8.76544E-05
61.75,0.000557957
62,-0.000629019
62.25,0.000249629
62.5,-0.00057108
62.75,0.000497414
63,0.000236411
63.25,-5.58232E-05
63.5,-0.000949092
63.75,0.001036284
64,-0.000211607
64.25,-7.63958E-05
64.5,-0.000340774
64.75,0.0004406
65,-0.000518121
65.25,0.00087706
65.5,-0.000751126
65.75,0.000638649
66,-0.000676577
66.25,0.000356979
66.5,8.41677E-05
66.75,-0.000317716
67,0.000151175
67.25,0.000268592
67.5,-9.52854E-05
67.75,-0.000650707
68,0.00104631
68.25,-0.000719652
68.5,-0.000175925
68.75,0.000780932
69,-0.000385929
69.25,0.000122966
69.5,-0.000478765
69.75,0.000405956
70,-0.000315331
70.25,0.00031318
70.5,-3.58825E-06
70.75,-0.000229049
71,0.000174366
71.25,-0.000383991
71.5,0.000517262
71.75,-0.000435682
72,0.000665827
72.25,-0.000616613
72.5,0.000353322
72.75,-9.88173E-06
73,-0.000355815
73.25,-0.000119409
73.5,0.002667669
73.75,-0.004125102
74,0.001506294
74.25,0.000643156
74.5,-0.000444782
74.75,0.000400341
75,-0.000426861
75.25,-0.000140901
75.5,0.000356993
75.75,-0.00038642
76,0.000265617
76.25,0.000484945
76.5,-0.000606826
76.75,0.000242851
77,0.0001158
77.25,3.98908E-05
77.5,-0.000714859
77.75,0.000454146
78,0.000196394
78.25,-0.000581855
78.5,0.000703909
78.75,-0.000431208
79,7.80644E-05
79.25,0.00038332
79.5,-0.000456133
79.75,0.000469959
80,-0.001079466
80.25,0.000765115
80.5,0.000214663
80.75,0.000103918
81,-0.000787638
81.25,0.001567062
81.5,-0.001248666
81.75,-0.000210052
82,-1.29833E-05
82.25,0.001372673
82.5,-0.002916394
82.75,4.4748E-07
83,0.002696415
83.25,0.000985446
83.5,-0.001880562
83.75,-0.001342346
84,0.002415978
84.25,-0.000549553
84.5,-0.000182952
84.75,0.000191211
85,-0.000764345
85.25,-0.000132796
85.5,0.001329304
85.75,-0.000654107
86,0.000154502
86.25,-0.001971712
86.5,0.002014715
86.75,0.0002366
87,-0.001434054
87.25,0.000185586
87.5,0.000942302
87.75,0.000269704
88,-0.000450353
88.25,0.000236239
88.5,-0.000595916
88.75,1.19892E-05
89,-0.000844822
89.25,0.000724182
89.5,0.000844487
89.75,-0.00043044
90,-0.000174571
90.25,-5.04295E-05
90.5,-0.000203918
90.75,0.000573767
91,-0.00035541
91.25,0.000304849
91.5,-0.000178886
91.75,0.000606682
92,-0.000731092
92.25,-0.000421915
92.5,0.000230292
92.75,0.000292755
93,0.000127104
93.25,-8.12054E-05
93.5,-0.000247497
93.75,-1.31644E-06
94,0.00065247
94.25,-0.000650359
94.5,0.000386722
94.75,-0.000627656
95,0.000252852
95.25,0.000388271
95.5,-0.000466901
95.75,0.000861389
96,-0.000503772
96.25,0.000109858
96.5,-0.000828305
96.75,0.001171702
97,-0.001249116
97.25,0.00065092
97.5,0.000978452
97.75,-0.001127506
98,-0.001358673
98.25,0.001822473
98.5,0.001436133
98.75,-0.002506736
99,0.000611114
99.25,0.000193137
99.5,0.000451408
99.75,-0.000984817
100,0.0006314
100.25,9.60937E-05
100.5,-0.000324805
100.75,0.000494809
101,-0.000762205
101.25,0.000809682
101.5,-0.000413533
101.75,0.000335501
102,-0.000914987
102.25,0.00020262
102.5,0.000166228
102.75,0.001000805
103,-0.001312153
103.25,0.000371236
103.5,0.000222795
103.75,0.000701281
104,-0.00116219
104.25,0.000303524
104.5,0.000466309
104.75,-0.000323733
105,-0.000122444
105.25,-0.000126168
105.5,0.000126833
105.75,0.000575044
106,-0.001593378
106.25,0.00196134
106.5,-0.000879457
106.75,-0.000589561
107,0.000589355
107.25,0.00045018
107.5,-0.000624902
107.75,8.05725E-05
108,-0.000107854
108.25,3.0778E-05
108.5,0.000356774
108.75,0.000429919
109,-0.000869997
109.25,0.000407006
109.5,-0.00015616
109.75,-0.000404118
110,0.000142066
110.25,0.00066956
110.5,0.000766807
110.75,-0.002396134
111,0.00136936
111.25,-0.00023775
111.5,-9.99055E-05
111.75,0.000110603
112,0.000550581
112.25,-0.000274449
112.5,-0.001033909
112.75,0.001429157
113,-0.000759684
113.25,0.000194121
113.5,-1.47307E-05
113.75,-2.8524E-06
114,-0.000117534
114.25,-0.00029339
114.5,0.000861098
114.75,-0.000741736
115,0.000658203
115.25,-0.000254907
115.5,-0.000754096
115.75,0.001055939
116,-0.000370543
116.25,-0.000107523
116.5,0.000241441
116.75,2.68185E-05
117,3.65686E-05
117.25,-0.001307411
117.5,0.000746875
117.75,0.000349317
118,0.000396862
118.25,7.80034E-05
118.5,-0.001019179
118.75,-0.000480589
119,0.001430552
119.25,-9.24177E-05
119.5,-0.000511585
119.75,0.000902497
120,-0.000630255
120.25,-0.001171783
120.5,0.001844239
120.75,0.000302558
121,-0.001917579
121.25,0.000863372
121.5,0.000145852
121.75,-0.000123135
122,-0.000908082
122.25,0.002406346
122.5,-0.00080135
122.75,-0.001909183
123,0.000437904
123.25,0.001601897
123.5,-0.001615113
123.75,0.000460591
124,0.000923438
124.25,-0.000425994
124.5,-0.003242845
124.75,0.003853646
125,-0.001700535
125.25,0.002680052
125.5,-0.000677497
125.75,-0.002071542
126,0.000786202
126.25,-0.000469948
126.5,0.000499022
126.75,0.00105526
127,-0.001104904
127.25,0.001271113
127.5,-0.001922945
127.75,0.001353021
128,-0.000885091
128.25,-0.00056294
128.5,0.001672949
128.75,-4.18784E-06
129,-0.00040833
129.25,-0.000803351
129.5,-0.000291417
129.75,0.001235742
130,-0.000662768
130.25,0.000188352
130.5,0.000983514
130.75,-0.004217631
131,0.005038055
131.25,-0.000281241
131.5,-0.002479545
131.75,0.001827266
132,-0.001214254
132.25,-0.001310055
132.5,0.002610209
132.75,-0.003398089
133,0.00470884
133.25,-0.00235749
133.5,-0.001156671
133.75,0.001397311
134,0.002056786
134.25,-0.002205202
134.5,-0.00116597
134.75,0.001446831
135,-0.001929268
135.25,0.005091326
135.5,-0.007011876
135.75,0.00609671
136,-0.00251798
136.25,0.00014127
136.5,-0.000606004
136.75,-0.000425174
137,-0.000130639
137.25,0.004871942
137.5,-0.007360789
137.75,0.005052495
138,-0.002387342
138.25,0.001132672
138.5,-0.001219807
138.75,0.001791864
139,-0.002586075
139.25,0.004177811
139.5,-0.003583825
139.75,0.001162745
140,-0.000349402
140.25,0.00032656
140.5,0.000795171
140.75,-0.000328343
141,-0.001723432
141.25,0.001717838
141.5,-0.001142349
141.75,0.000948837
142,-0.001384819
142.25,0.00236708
142.5,-0.000968104
142.75,-0.000321123
143,-0.000578534
143.25,0.001290886
143.5,-0.001158255
143.75,-0.000312917
144,-9.91255E-05
144.25,0.002580296
144.5,-0.002038547
144.75,-7.32463E-06
145,0.000689584
145.25,-0.001177749
145.5,0.002748474
145.75,-0.002821409
146,0.0002936
146.25,0.000622813
146.5,0.000413389
146.75,7.38819E-05
147,0.000369201
147.25,-0.002114407
147.5,0.001075728
147.75,0.000549549
148,-0.002127408
148.25,0.002531043
148.5,-0.001089858
148.75,-0.000171293
149,0.001846181
149.25,-0.00084059
149.5,-0.000992302
149.75,0.000915703
150,-0.001179761
150.25,0.001097819
150.5,-0.001484136
150.75,0.001736995
151,-0.000524233
151.25,2.48384E-05
151.5,-0.000196396
151.75,0.00065171
152,-0.001882917
152.25,0.002320134
152.5,-0.001460181
152.75,-0.000341674
153,0.001659535
153.25,-0.000369415
153.5,-0.000898128
153.75,0.000604038
154,-0.001905239
154.25,0.003791489
154.5,-0.002629617
154.75,0.00070494
155,0.000146856
155.25,-0.000560001
155.5,-0.001056304
155.75,0.002392713
156,-0.001483975
156.25,-0.000682334
156.5,0.002602711
156.75,-0.002060833
157,-6.35322E-05
157.25,0.001908259
157.5,-0.002220183
157.75,0.001677214
158,-0.000346692
158.25,-0.001540582
158.5,0.001574808
158.75,-0.000453243
159,-0.003450629
159.25,0.005974186
159.5,-0.003168001
159.75,0.001938522
160,-0.00119046
160.25,-0.000253038
160.5,0.00023167
160.75,-0.000443631
161,0.001634852
161.25,-0.004501136
161.5,0.004803106
161.75,0.000169502
162,-0.003017493
162.25,0.001092114
162.5,0.000128965
162.75,0.000490178
163,-0.001593343
163.25,0.001305305
163.5,0.002953769
163.75,6.90489E-05
164,-0.009788772
164.25,0.007356201
164.5,-0.001249337
164.75,0.000867334
165,-0.000521129
165.25,0.00166611
165.5,-0.003559726
165.75,0.002852415
166,-0.000375337
166.25,-0.003944308
166.5,0.007625797
166.75,-0.007098648
167,0.006146143
167.25,-0.00481111
167.5,0.002690374
167.75,-0.002301374
168,0.002292883
168.25,-0.000787032
168.5,-0.002031217
168.75,0.003077587
169,0.000284764
169.25,-0.003037382
169.5,0.001235898
169.75,-0.000239963
170,0.001156306
170.25,-0.001001707
170.5,0.000628799
170.75,8.18758E-05
171,-0.001382983
171.25,0.000349116
171.5,0.001798495
171.75,-0.000769661
172,-0.000673639
172.25,0.000753294
172.5,-0.001710077
172.75,0.001751655
173,-0.000240547
173.25,-0.001820908
173.5,0.004219638
173.75,-0.004469086
174,0.000644187
174.25,0.003683664
174.5,-0.003960345
174.75,0.000484179
175,0.002466262
175.25,-0.001630952
175.5,-0.002595723
175.75,0.005214936
176,-0.003969179
176.25,0.002305445
176.5,-0.000635497
176.75,0.00157628
177,-0.005025652
177.25,0.006931674
177.5,-0.004538242
177.75,-0.001298299
178,0.004644942
178.25,-0.004585049
178.5,0.004142501
178.75,-0.003476046
179,0.000818634
179.25,0.001480849
179.5,-0.001671883
179.75,0.00125099
180,-0.001025891
180.25,0.001515275
180.5,-0.003170194
180.75,0.00434396
181,-0.002366628
181.25,-0.001213217
181.5,0.003856324
181.75,-0.004125156
182,0.002492241
182.25,-0.000901514
182.5,5.20633E-05
182.75,-0.000202383
183,0.001205998
183.25,-0.001694655
183.5,0.002006821
183.75,-0.002583952
184,0.002231579
184.25,-0.000870426
184.5,-8.85694E-05
184.75,-0.000935255
185,0.002017654
185.25,-0.001589969
185.5,-6.14581E-05
185.75,0.001102196
186,0.00031544
186.25,-0.000918434
186.5,-0.000528865
186.75,0.001195757
187,0.000257002
187.25,-0.003393618
187.5,0.005472064
187.75,-0.003254769
188,-0.000735045
188.25,0.003071224
188.5,-0.004182676
188.75,0.003370298
189,-0.002962698
189.25,0.004565401
189.5,-0.005487456
189.75,0.004054607
190,-0.000968861
190.25,-0.00123633
190.5,0.002444768
190.75,-0.001990296
191,-0.000771381
191.25,0.00294347
191.5,-0.00395013
191.75,0.002925883
192,-0.000171388
192.25,-6.55217E-05
192.5,-0.001087857
192.75,0.000909237
193,-4.49374E-05
193.25,-0.000792593
193.5,0.000867534
193.75,-0.000826655
194,0.001268602
194.25,-0.000724674
194.5,-0.001452955
194.75,0.002418003
195,-0.001237931
195.25,0.001096448
195.5,-0.003328131
195.75,0.005068264
196,-0.003894982
196.25,0.000732756
196.5,0.002818303
196.75,-0.005166449
197,0.005906248
197.25,-0.005687947
197.5,0.004534545
197.75,-0.002411571
198,0.000618562
198.25,0.000185869
198.5,-0.000652024
198.75,0.001177396
199,-0.001596103
199.25,0.000252917
199.5,0.001626575
199.75,-0.001499965
200,-0.000184018
200.25,0.00242586
200.5,-0.002499616
200.75,0.001360567
201,-0.0013048
201.25,1.44983E-05
201.5,0.001828414
201.75,-0.001246923
202,-0.000373788
202.25,0.000808223
202.5,-0.001003895
202.75,0.000386302
203,0.001107563
203.25,-0.002054349
203.5,0.003798262
203.75,-0.006414202
204,0.006891165
204.25,-0.004825097
204.5,0.001927532
204.75,0.001160387
205,-0.002309739
205.25,0.001503616
205.5,-0.001190635
205.75,0.000355504
206,0.000625414
206.25,0.001277486
206.5,-0.003690177
206.75,0.003128787
207,-0.001813738
207.25,0.001018986
207.5,-0.000173908
207.75,0.000647779
208,-0.002806055
208.25,0.004882868
208.5,-0.004726038
208.75,0.00338764
209,-0.002649408
209.25,0.001367632
209.5,0.00120425
209.75,-0.004738636
210,0.007066662
210.25,-0.005252286
210.5,0.002411438
210.75,-0.001908338
211,0.000844992
211.25,0.00053412
211.5,0.000586839
211.75,-0.003537728
212,0.005907685
212.25,-0.006430022
212.5,0.006381659
212.75,-0.00540178
213,0.002974557
213.25,-0.001038251
213.5,0.001974658
213.75,-0.004112817
214,0.002844054
214.25,0.000432468
214.5,-0.002654077
214.75,0.002177935
215,-5.09558E-05
215.25,-0.00022103
215.5,-0.000717828
215.75,0.000854792
216,-0.000433427
216.25,0.000459857
216.5,0.000412252
216.75,-0.002428219
217,0.001636697
217.25,0.000475112
217.5,0.001202365
217.75,-0.00388578
218,0.003933458
218.25,-0.003425267
218.5,0.003373911
218.75,-0.002743732
219,0.001927502
219.25,-0.001511765
219.5,0.001357914
219.75,0.000248748
220,-0.002297998
220.25,0.002634558
220.5,-0.002549837
220.75,3.82267E-06
221,0.003659444
221.25,-0.004469744
221.5,0.003933162
221.75,-0.001846381
222,-0.000742234
222.25,0.001864785
222.5,-0.002610925
222.75,0.003246918
223,-0.002377614
223.25,-0.000412219
223.5,0.001212389
223.75,0.000165459
224,-0.000193133
224.25,0.000889738
224.5,-0.00117536
224.75,7.48483E-05
225,-0.001255289
225.25,0.001823669
225.5,-0.0013012
225.75,0.00088232
226,-0.000361407
226.25,0.002402538
226.5,-0.004794999
226.75,0.005497133
227,-0.006344676
227.25,0.006701828
227.5,-0.004497972
227.75,0.000983139
228,0.00027234
228.25,0.002791368
228.5,-0.005525681
228.75,0.003750937
229,0.002413034
229.25,-0.005549103
229.5,0.00231322
229.75,-0.000154089
230,-0.000772378
230.25,0.000534968
230.5,-0.00024844
230.75,0.001619757
231,-0.000979698
231.25,0.001566088
231.5,-0.003365913
231.75,0.001010154
232,0.000372865
232.25,6.42799E-05
232.5,-0.0015448
232.75,0.00530594
233,-0.004178536
233.25,0.001747042
233.5,-0.002990064
233.75,0.001448189
234,0.002346944
234.25,-0.004099998
234.5,0.004665661
234.75,-0.004403818
235,0.003330337
235.25,-0.002543695
235.5,0.003240103
235.75,-0.003897411
236,0.00376331
236.25,-0.002605008
236.5,0.000335759
236.75,0.000584095
237,-0.002779194
237.25,0.002685878
237.5,0.002089756
237.75,-0.003616488
238,0.002367121
238.25,-0.003651817
238.5,0.00483611
238.75,-0.002268712
239,-0.001588754
239.25,0.002064628
239.5,6.70578E-05
239.75,-0.00032279
240,-0.001295498
240.25,0.002575434
240.5,-0.001264581
240.75,-2.25148E-05
241,0.000572728
241.25,-0.00048371
241.5,-0.000847897
241.75,0.000282694
242,-0.000232237
242.25,0.001297799
242.5,-0.000857255
242.75,-0.001324124
243,0.005000838
243.25,-0.008595717
243.5,0.008808369
243.75,-0.004725244
244,0.001812075
244.25,-0.001157151
244.5,0.001096318
244.75,-0.001859528
245,0.002060446
245.25,-0.001231942
245.5,-0.001886706
245.75,0.003290515
246,-0.000507116
246.25,-0.002052532
246.5,0.001993278
246.75,-0.001968664
247,0.00155971
247.25,0.001079921
247.5,-0.002056146
247.75,0.001160869
248,-0.000539699
248.25,0.001131395
248.5,-0.002999075
248.75,0.004860143
249,-0.004720553
249.25,0.003097895
249.5,-0.001766543
249.75,0.003026321
250,-0.004487354
250.25,0.001507676
250.5,0.001441727
250.75,-0.001320662
251,-0.002009921
251.25,0.004454898
251.5,-0.002288008
251.75,-0.001373602
252,0.004933589
252.25,-0.006319535
252.5,0.004253198
252.75,-0.00079668
253,-0.002810877
253.25,0.004094816
253.5,-0.002542008
253.75,0.001541149
254,0.000216431
254.25,-0.00213476
254.5,0.000679244
254.75,0.001512431
255,-0.000936564
255.25,-0.001220902
255.5,0.002649386
255.75,-0.002388273
256,0.001126731
256.25,0.001150333
256.5,-0.003777461
256.75,0.004012318
257,-0.001599801
257.25,-0.000983305
257.5,3.75404E-05
257.75,0.002071131
258,-0.001924559
258.25,0.001349053
258.5,-3.75317E-05
258.75,-0.000689791
259,-0.000339598
259.25,0.000721465
259.5,-0.00034402
259.75,0.000440244
260,-0.000353456
260.25,0.000621777
260.5,-0.002023552
260.75,0.002111577
261,-0.000883477
261.25,-9.97103E-05
261.5,5.6703E-05
261.75,0.000483707
262,0.000313989
262.25,-0.000647176
262.5,-0.001256227
262.75,0.001885594
263,-0.000322951
263.25,1.63942E-05
263.5,-0.00042393
263.75,0.000549978
264,0.00032135
264.25,-0.002597887
264.5,0.003227192
264.75,-0.000997707
265,-0.001407996
265.25,0.002427416
265.5,-0.001470809
265.75,7.96817E-05
266,0.000388168
266.25,-0.002811639
266.5,0.005257516
266.75,-0.003727143
267,-0.001030659
267.25,0.003074617
267.5,-0.00133601
267.75,0.001123241
268,-0.001396507
268.25,0.001186288
268.5,-0.000942444
268.75,0.000288292
269,-0.000481947
269.25,0.001153329
269.5,-0.000873256
269.75,0.000214748
270,0.000718449
270.25,-0.002147258
270.5,0.003149435
270.75,-0.002231895
271,0.001513207
271.25,-0.002344692
271.5,0.001785381
271.75,-0.001073673
272,0.000221698
272.25,-0.000268774
272.5,0.001570648
272.75,-0.001670776
273,0.000667303
273.25,0.000677264
273.5,0.000123125
273.75,-0.001209074
274,0.000400116
274.25,-8.67436E-05
274.5,0.000653988
274.75,-0.00083144
275,0.001395234
275.25,-0.001099011
275.5,-0.000923202
275.75,0.001148779
276,-0.000294598
276.25,-0.000120931
276.5,0.000952954
276.75,-0.002256463
277,0.002011736
277.25,-4.35154E-05
277.5,-1.86555E-05
277.75,0.000646974
278,-0.001580485
278.25,0.000106641
278.5,0.000372467
278.75,0.000391522
279,-0.001242293
279.25,0.00171929
279.5,-0.001316618
279.75,0.001610177
280,-0.002029024
280.25,0.000847606
280.5,0.000282493
280.75,0.000580897
281,-0.001847882
281.25,0.001233882
281.5,0.000813071
281.75,-0.001735997
282,0.000133499
282.25,0.002163975
282.5,-0.003003989
282.75,0.00144221
283,0.000929063
283.25,-0.001771593
283.5,0.001128203
283.75,-8.18696E-05
284,-0.000190982
284.25,-0.000174382
284.5,0.001157025
284.75,-0.003012049
285,0.003539277
285.25,-0.002647727
285.5,0.001573456
285.75,-0.001898784
286,0.003207558
286.25,-0.002098421
286.5,0.001630705
286.75,-0.000843208
287,-0.001833734
287.25,0.002696216
287.5,-0.003755153
287.75,0.002980724
288,-0.001069218
288.25,0.000989447
288.5,-0.001539082
288.75,0.001564004
289,0.000145023
289.25,0.000210948
289.5,-0.000199184
289.75,-0.002252265
290,0.00251189
290.25,-0.001834057
290.5,0.002195761
290.75,-0.003060241
291,0.002295405
291.25,-0.000421694
291.5,-0.000238789
291.75,0.001283304
292,-0.002239675
292.25,0.001293622
292.5,0.000854285
292.75,-0.001515027
293,0.0004296
293.25,0.001710159
293.5,-0.003702179
293.75,0.002584389
294,-0.000763622
294.25,0.000764333
294.5,-0.000672221
294.75,-0.000772443
295,0.001383154
295.25,-0.000102843
295.5,0.000853524
295.75,-0.002114374
296,0.001692907
296.25,-0.001266925
296.5,0.000727172
296.75,-0.000798877
297,0.001567414
297.25,-0.0017962
297.5,0.000465159
297.75,0.000167195
298,0.00049395
298.25,-0.000423476
298.5,0.000452765
298.75,-0.001213205
299,0.001695428
299.25,-0.000436407
299.5,-0.001372517
299.75,0.001340493
300,-6.87795E-05
300.25,-0.000870162
300.5,0.001471479
300.75,-0.001464703
301,0.000651736
301.25,-0.000275232
301.5,-0.000997912
301.75,0.001779236
302,0.000562386
302.25,-0.002846969
302.5,0.002293536
302.75,0.000200551
303,-0.002099153
303.25,0.002945787
303.5,-0.001445512
303.75,-0.002292426
304,0.003315743
304.25,-0.001379423
304.5,0.00028744
304.75,4.45307E-05
305,-0.000946421
305.25,0.000489141
305.5,0.001144331
305.75,-0.002124562
306,0.000867389
306.25,0.0007077
306.5,-0.000281989
306.75,0.000493935
307,-2.29114E-05
307.25,-0.001692413
307.5,0.00147091
307.75,-0.00092433
308,0.001779079
308.25,-0.001668036
308.5,0.001868672
308.75,-0.001456653
309,-0.00083745
309.25,-0.000239661
309.5,0.002191951
309.75,-0.001048373
310,0.00097245
310.25,-0.002131657
310.5,0.001202058
310.75,-0.000194085
311,0.000224738
311.25,0.00097528
311.5,-0.00115502
311.75,-0.000351157
312,0.000725368
312.25,-0.000489339
312.5,-0.000348095
312.75,0.001334661
313,-0.000971021
313.25,-0.000122377
313.5,0.000266737
313.75,0.000305608
314,0.000272119
314.25,-0.001054031
314.5,0.000317969
314.75,0.000715965
315,-0.000576668
315.25,-0.000456847
315.5,0.001136914
315.75,-0.000703035
316,-0.000711322
316.25,0.002260184
316.5,-0.002057044
316.75,0.000934718
317,0.000612958
317.25,-0.002311815
317.5,0.003151737
317.75,-0.002057348
318,-0.000925296
318.25,0.001946096
318.5,-0.000878124
318.75,-0.000746237
319,0.001397847
319.25,-0.000105583
319.5,0.000503401
319.75,-0.001006501
320,-0.00183831
320.25,0.003813387
320.5,-0.003767799
320.75,0.001254547
321,0.00319523
321.25,-0.002903866
321.5,-5.01029E-05
321.75,0.000390085
322,-0.000113689
322.25,0.000492818
322.5,3.38588E-05
322.75,-0.002475066
323,0.006918396
323.25,-0.012362587
323.5,0.011944044
323.75,-0.004681729
324,0.002675593
324.25,-0.004701356
324.5,0.004010925
324.75,-0.002033145
325,0.001156493
325.25,-0.001779252
325.5,-0.000268453
325.75,0.003532002
326,-0.005071643
326.25,0.004902547
326.5,-0.001622592
326.75,-0.001772431
327,6.65494E-05
327.25,0.00125013
327.5,-0.002073234
327.75,0.002335655
328,0.001948784
328.25,-0.002815501
328.5,0.000656114
328.75,-0.002039154
329,0.001915712
329.25,0.001040465
329.5,0.000765753
329.75,-0.002129837
330,0.002003522
330.25,-0.003590147
330.5,0.003928785
330.75,-0.006671627
331,0.004675627
331.25,0.004138745
331.5,-0.007152835
331.75,0.005071638
332,-0.004384411
332.25,0.00195537
332.5,-0.000515949
332.75,0.001185465
333,0.001212966
333.25,0.004873464
333.5,-0.009310338
333.75,0.003099703
334,-0.00147261
334.25,0.000525637
334.5,0.000663142
334.75,-0.001855316
335,0.003905845
335.25,0.002803595
335.5,-0.015795655
335.75,0.011168577
336,0.004664577
336.25,-0.002240464
336.5,-0.004271772
336.75,0.002621738
337,-0.005177891
337.25,0.009142939
337.5,-0.005745928
337.75,-0.000807849
338,0.001617827
338.25,0.000547787
338.5,-0.000546665
338.75,-0.000352694
339,0.001453579
339.25,-0.00449985
339.5,0.006679742
339.75,-0.002848541
340,-0.001876038
340.25,0.000617613
340.5,0.003848535
340.75,-0.004859075
341,0.00276437
341.25,-7.98854E-05
341.5,-0.001053775
341.75,-9.57675E-05
342,5.18684E-06
342.25,0.000320807
342.5,-5.40345E-05
342.75,0.000513446
343,-0.001743814
