,Z_FFT(f)
X Unit(Hz),Y Unit(mm)
X Value,Y Value(Real)
1584,0.00503913
1586,0.019428335
1588,-0.01847844
1590,-0.01534733
1592,0.016381067
1594,0.011382942
1596,-0.014432849
1598,-0.003998754
1600,0.028772678
1602,-0.030647232
1604,0.006570188
1606,0.006883271
1608,-0.007827161
1610,0.007937177
1612,-0.00830813
1614,0.006215938
1616,-0.004543841
1618,0.007894302
1620,0.00040975
1622,-0.021187036
1624,0.028296874
1626,-0.013689615
1628,0.003125843
1630,-0.016539578
1632,0.030821433
1634,-0.016376625
1636,-0.016495927
1638,0.03011537
1640,-0.007142376
1642,-0.004873295
1644,-0.001263253
1646,-0.009502701
1648,0.016558039
1650,-0.012221491
1652,0.004068779
1654,-0.002625392
1656,0.006875264
1658,0.010573004
1660,-0.025402907
1662,0.006996327
1664,0.010000501
1666,-0.004198401
1668,-0.008826461
1670,0.011981023
1672,-0.006734182
1674,0.007561955
1676,-0.006582441
1678,0.001068669
1680,-0.005255527
1682,0.005874961
1684,0.007829009
1686,-0.026394902
1688,0.038372149
1690,-0.02190299
1692,-0.011732486
1694,0.019686666
1696,0.001649533
1698,-0.01338578
1700,0.001746347
1702,0.001720773
1704,0.010338516
1706,-0.012228203
1708,0.007983981
1710,-0.009422581
1712,0.012184874
1714,-0.003870305
1716,-0.010787358
1718,0.015494894
1720,-0.01374993
1722,0.008518667
1724,-0.001122762
1726,-0.002883654
1728,0.003982543
1730,-0.003466733
1732,-0.0006063
1734,0.003423163
1736,-0.003371604
1738,0.00603531
1740,-0.009772053
1742,0.008280507
1744,0.000504705
1746,-0.008301128
1748,0.009631931
1750,-0.007984943
1752,0.003155936
1754,-1.08E-05
1756,-0.000554248
1758,0.000929234
1760,0.002412222
1762,-0.002796415
1764,-9.69E-05
1766,-0.000602442
1768,-0.000193066
1770,0.001700347
1772,0.002122991
1774,-0.005701726
1776,0.001774584
1778,0.002978124
1780,0.000170255
1782,-0.001319868
1784,-0.004920094
1786,0.004699597
1788,0.002270354
1790,-0.005391144
1792,0.008483381
1794,-0.011770481
1796,0.003976603
1798,0.004946291
1800,-0.003970365
1802,0.001613282
1804,0.000634087
1806,-0.003696579
1808,0.003704944
1810,-3.89E-05
1812,-0.002144595
1814,0.003273548
1816,-0.003559936
1818,0.000770374
1820,-0.002113374
1822,0.004780422
1824,-0.002373014
1826,0.000305278
1828,0.001494421
1830,-0.001844428
1832,0.00052405
1834,-0.002808143
1836,0.002528112
1838,0.00154062
1840,-0.001890736
1842,0.000455577
1844,-0.002234687
1846,0.001209643
1848,0.002307682
1850,0.000585513
1852,0.00132891
1854,-0.004875528
1856,0.003956604
1858,-0.009193689
1860,0.004807315
1862,0.009527565
1864,-0.009882743
1866,0.00329382
1868,-0.002587794
1870,0.004283985
1872,-0.003678904
1874,-0.000813131
1876,0.001183194
1878,0.004115835
1880,-0.006247801
1882,0.008594532
1884,-0.00820199
1886,-0.003867561
1888,0.009412085
1890,-0.002117002
1892,0.004697758
1894,-0.01320671
1896,0.006526938
1898,0.00332999
1900,-0.006526212
1902,0.006101391
1904,-0.002994114
1906,0.005512881
1908,-0.001492236
1910,-0.016174392
1912,0.021297292
1914,-0.006168758
1916,-0.00928465
1918,0.013149713
1920,-0.005748386
1922,-0.003939325
1924,0.004321061
1926,0.00306495
1928,-0.001400249
1930,-0.009164284
1932,0.012793484
1934,-0.003090451
1936,-0.0076118
1938,0.008823877
1940,-0.00111247
1942,-0.002888066
1944,-0.001412132
1946,-0.002676346
1948,4.47E-05
1950,0.009918755
1952,-0.004968362
1954,-0.003201872
1956,0.00592289
1958,-0.001936237
1960,-0.005658149
1962,0.004021406
1964,0.000866325
1966,5.48E-05
1968,-0.003628365
1970,0.001683707
1972,0.005683135
1974,-0.006029312
1976,-0.001977505
1978,0.004929262
1980,-0.001681014
1982,0.000703208
1984,-0.002869165
1986,0.002932286
1988,0.002497692
1990,-0.0016897
1992,-0.004771457
1994,0.002625907
1996,0.005021281
1998,-0.003756178
2000,-0.002445542
2002,-0.000193276
2004,0.005767968
2006,-0.004493459
2008,-0.002129619
2010,0.004587695
2012,0.001383252
2014,-0.00795406
2016,0.008376981
2018,-0.003514315
2020,-0.00269701
2022,0.005579835
2024,-0.002054781
