S,Z_FFT(f)
X Unit(Hz),Y Unit(mm)
X Value,Y Value(Real)
37.75,0.00040538427015235357
37.8125,0.00023214181510411436
37.875,-0.00045431252715388837
37.9375,-0.00010377325310173546
38,0.0003434642508182151
38.0625,0.00027788874490397575
38.125,-0.0029598029414046323
38.1875,0.003899180683220038
38.25,-0.0017353753491988755
38.3125,0.0013774271110378322
38.375,-0.001628730842639925
38.4375,0.0016740184491936816
38.5,-0.0011138033642055234
38.5625,-0.0006000915959702979
38.625,0.0007548239864263451
38.6875,-0.0007996175099833636
38.75,-0.002127676907548448
38.8125,0.00841758810565807
38.875,-0.009145322110271081
38.9375,0.0005940830192230351
39,0.004152343990426743
39.0625,0.0006461077646235935
39.125,-0.0020010736534459284
39.1875,-0.0009774325917533133
39.25,0.001576510271661391
39.3125,0.0034242088986502495
39.375,-0.008560555215808563
39.4375,0.0034369377317489125
39.5,-0.0004869263534601487
39.5625,-0.006407190994650591
39.625,0.019591461750678718
39.6875,-0.02120033241226338
39.75,0.038655671232845634
39.8125,-0.06556182052008808
39.875,0.05372240048018284
39.9375,-0.026741050533019006
40,0.026751962650450878
40.0625,-0.02264279464725405
40.125,0.006873491656733677
40.1875,-0.000524155893799616
40.25,-0.001249649130841135
40.3125,0.00026147532139475516
40.375,0.001961617272172589
40.4375,-0.003427813453527051
40.5,-0.0017139352621597936
40.5625,0.0037714185054937843
40.625,0.006143101472844137
40.6875,-0.007627083050465444
40.75,-0.0011062323892474524
40.8125,0.002414459913779865
40.875,0.000851950574087823
40.9375,-0.0018112049247065443
41,0.00028173741384307505
41.0625,0.00041875236433952523
41.125,0.00027390510126679146
41.1875,-0.00028688538122878526
41.25,-0.0009484456882091763
41.3125,0.0025784158879105235
41.375,-0.0021638609268848086
41.4375,0.00024517601104889764
41.5,0.000743970872463251
41.5625,-0.0005175388650968671
41.625,0.00032865546018001623
41.6875,-0.000531668490566517
41.75,0.0006663693739028531
41.8125,-0.0005792542765448161
41.875,0.0007215573987195967
41.9375,-0.0012499024251155788
